ID,Gender,Age,Occupation,EstimatedAnnualIncome,CreditCardDefault,AvgCreditCardSpending,CarOwnership,SpecificMerchantUsage,LateNightCardUsage,CreditApproval
1,Male,35,Employee,50000,No,1500,Yes,No,No,Approved
2,Female,28,SelfEmployed,42000,Yes,1000,No,Yes,Yes,Rejected
3,Male,45,Doctor,85000,No,3000,Yes,No,No,Approved
4,Female,32,Teacher,48000,No,1200,Yes,No,No,Approved
5,Male,50,Lawyer,90000,No,4000,Yes,No,No,Approved
6,Female,29,Freelancer,38000,Yes,800,No,Yes,Yes,Rejected
7,Male,38,Engineer,62000,No,1800,Yes,No,No,Approved
8,Female,41,CivilServant,55000,No,1400,Yes,No,No,Approved
9,Male,31,Student,25000,Yes,600,No,Yes,Yes,Rejected
10,Female,55,CEO,120000,No,6000,Yes,No,No,Approved
11,Male,42,Manager,70000,No,2000,Yes,No,No,Approved
12,Female,36,Nurse,52000,No,1300,Yes,No,No,Approved
13,Male,27,Salesperson,35000,Yes,900,No,Yes,Yes,Rejected
14,Female,48,Professor,80000,No,2500,Yes,No,No,Approved
15,Male,33,Accountant,58000,No,1600,Yes,No,No,Approved
16,Female,39,Designer,60000,No,1700,Yes,No,No,Approved
17,Male,52,Executive,95000,No,4500,Yes,No,No,Approved
18,Female,30,Journalist,40000,Yes,1100,No,Yes,No,Rejected
19,Male,44,Architect,75000,No,2200,Yes,No,No,Approved
20,Female,37,Pharmacist,68000,No,1900,Yes,No,No,Approved
21,Male,29,Waiter,28000,Yes,700,No,Yes,Yes,Rejected
22,Female,51,Consultant,88000,No,3500,Yes,No,No,Approved
23,Male,34,Programmer,65000,No,1800,Yes,No,No,Approved
24,Female,46,Dentist,92000,No,3800,Yes,No,No,Approved
25,Male,40,Analyst,72000,No,2100,Yes,No,No,Approved
26,Female,31,Artist,32000,Yes,850,No,Yes,Yes,Rejected
27,Male,53,Pilot,98000,No,4200,Yes,No,No,Approved
28,Female,35,HRManager,59000,No,1650,Yes,No,No,Approved
29,Male,47,Surgeon,110000,No,5000,Yes,No,No,Approved
30,Female,32,Researcher,54000,No,1450,Yes,No,No,Approved
31,Male,28,Bartender,30000,Yes,750,No,Yes,Yes,Rejected
32,Female,49,Psychologist,82000,No,2800,Yes,No,No,Approved
33,Male,36,Electrician,56000,No,1550,Yes,No,No,Approved
34,Female,43,Veterinarian,78000,No,2400,Yes,No,No,Approved
35,Male,30,Photographer,38000,Yes,950,No,Yes,No,Rejected
36,Female,54,Judge,115000,No,5500,Yes,No,No,Approved
37,Male,39,Chef,62000,No,1750,Yes,No,No,Approved
38,Female,33,SocialWorker,45000,No,1250,Yes,No,No,Approved
39,Male,48,Physicist,86000,No,3200,Yes,No,No,Approved
40,Female,29,Receptionist,32000,Yes,800,No,Yes,Yes,Rejected
41,Male,52,Businessman,100000,No,4800,Yes,No,No,Approved
42,Female,37,Librarian,50000,No,1400,Yes,No,No,Approved
43,Male,31,Mechanic,42000,Yes,1100,No,Yes,No,Rejected
44,Female,45,Nutritionist,70000,No,2000,Yes,No,No,Approved
45,Male,34,Firefighter,58000,No,1600,Yes,No,No,Approved
46,Female,50,Principal,88000,No,3400,Yes,No,No,Approved
47,Male,28,SecurityGuard,35000,Yes,900,No,Yes,Yes,Rejected
48,Female,41,Optometrist,76000,No,2300,Yes,No,No,Approved
49,Male,38,SoftwareEngineer,80000,No,2600,Yes,No,No,Approved
50,Female,32,Paralegal,48000,No,1300,Yes,No,No,Approved
51,Male,47,Dentist,95000,No,4000,Yes,No,No,Approved
52,Female,30,Cashier,28000,Yes,700,No,Yes,Yes,Rejected
53,Male,55,Professor,92000,No,3800,Yes,No,No,Approved
54,Female,36,MarketingManager,68000,No,1900,Yes,No,No,Approved
55,Male,29,Barista,30000,Yes,750,No,Yes,Yes,Rejected
56,Female,43,Psychologist,78000,No,2400,Yes,No,No,Approved
57,Male,33,SalesRepresentative,52000,No,1450,Yes,No,No,Approved
58,Female,49,Pharmacist,86000,No,3200,Yes,No,No,Approved
59,Male,31,Carpenter,40000,Yes,1000,No,Yes,No,Rejected
60,Female,52,ExecutiveDirector,105000,No,5000,Yes,No,No,Approved
61,Male,37,ITConsultant,72000,No,2100,Yes,No,No,Approved
62,Female,34,Nurse,54000,No,1500,Yes,No,No,Approved
63,Male,46,FinancialAdvisor,88000,No,3400,Yes,No,No,Approved
64,Female,29,Waitress,32000,Yes,800,No,Yes,Yes,Rejected
65,Male,51,Surgeon,115000,No,5500,Yes,No,No,Approved
66,Female,38,InteriorDesigner,62000,No,1750,Yes,No,No,Approved
67,Male,32,PoliceOfficer,56000,No,1550,Yes,No,No,Approved
68,Female,44,RealEstateAgent,70000,No,2000,Yes,No,No,Approved
69,Male,30,GraphicDesigner,45000,Yes,1200,No,Yes,No,Rejected
70,Female,53,Judge,110000,No,5200,Yes,No,No,Approved
71,Male,35,Electrician,58000,No,1600,Yes,No,No,Approved
72,Female,40,HRDirector,82000,No,2800,Yes,No,No,Approved
73,Male,28,DeliveryDriver,34000,Yes,850,No,Yes,Yes,Rejected
74,Female,48,Optometrist,90000,No,3600,Yes,No,No,Approved
75,Male,33,SoftwareDeveloper,75000,No,2300,Yes,No,No,Approved
76,Female,39,AccountManager,68000,No,1900,Yes,No,No,Approved
77,Male,52,Architect,98000,No,4200,Yes,No,No,Approved
78,Female,31,Receptionist,36000,Yes,900,No,Yes,No,Rejected
79,Male,45,ChiefEngineer,92000,No,3800,Yes,No,No,Approved
80,Female,36,SocialMediaManager,60000,No,1700,Yes,No,No,Approved
81,Male,29,Bartender,32000,Yes,800,No,Yes,Yes,Rejected
82,Female,50,UniversityProfessor,95000,No,4000,Yes,No,No,Approved
83,Male,34,InsuranceAgent,58000,No,1600,Yes,No,No,Approved
84,Female,42,Dentist,100000,No,4500,Yes,No,No,Approved
85,Male,37,SystemAnalyst,72000,No,2100,Yes,No,No,Approved
86,Female,30,Cashier,30000,Yes,750,No,Yes,Yes,Rejected
87,Male,54,SeniorManager,108000,No,5000,Yes,No,No,Approved
88,Female,35,Journalist,56000,No,1550,Yes,No,No,Approved
89,Male,47,Veterinarian,88000,No,3400,Yes,No,No,Approved
90,Female,32,EventPlanner,50000,No,1400,Yes,No,No,Approved
91,Male,28,Waiter,28000,Yes,700,No,Yes,Yes,Rejected
92,Female,51,CorporateLawyer,105000,No,4800,Yes,No,No,Approved
93,Male,38,WebDeveloper,70000,No,2000,Yes,No,No,Approved
94,Female,33,Pharmacist,76000,No,2300,Yes,No,No,Approved
95,Male,46,FinancialAnalyst,85000,No,3200,Yes,No,No,Approved
96,Female,29,Hairdresser,34000,Yes,850,No,Yes,No,Rejected
97,Male,53,ChiefExecutiveOfficer,120000,No,6000,Yes,No,No,Approved
98,Female,37,MarketResearcher,64000,No,1800,Yes,No,No,Approved
99,Male,31,Plumber,52000,No,1450,Yes,No,No,Approved
100,Female,44,SchoolPrincipal,82000,No,2800,Yes,No,No,Approved
101,Male,30,SalesAssociate,38000,Yes,950,No,Yes,Yes,Rejected
102,Female,52,Psychotherapist,92000,No,3800,Yes,No,No,Approved
103,Male,35,SoftwareEngineer,78000,No,2400,Yes,No,No,Approved
104,Female,40,HumanResourcesManager,72000,No,2100,Yes,No,No,Approved
105,Male,28,SecurityGuard,32000,Yes,800,No,Yes,Yes,Rejected
106,Female,49,Optometrist,88000,No,3400,Yes,No,No,Approved
107,Male,34,AccountExecutive,62000,No,1750,Yes,No,No,Approved
108,Female,41,Nutritionist,68000,No,1900,Yes,No,No,Approved
109,Male,55,SeniorArchitect,102000,No,4500,Yes,No,No,Approved
110,Female,32,CustomerServiceRep,42000,Yes,1100,No,Yes,No,Rejected
111,Male,48,SurgicalNurse,80000,No,2600,Yes,No,No,Approved
112,Female,36,GraphicDesigner,58000,No,1600,Yes,No,No,Approved
113,Male,29,Bartender,30000,Yes,750,No,Yes,Yes,Rejected
114,Female,50,UniversityDean,98000,No,4200,Yes,No,No,Approved
115,Male,33,RealEstateAgent,60000,No,1700,Yes,No,No,Approved
116,Female,45,Pediatrician,105000,No,4800,Yes,No,No,Approved
117,Male,38,DataAnalyst,74000,No,2200,Yes,No,No,Approved
118,Female,31,Receptionist,36000,Yes,900,No,Yes,No,Rejected
119,Male,52,CorporateExecutive,110000,No,5200,Yes,No,No,Approved
120,Female,37,SocialWorker,54000,No,1500,Yes,No,No,Approved
121,Male,47,Dentist,96000,No,4000,Yes,No,No,Approved
122,Female,34,MarketingCoordinator,52000,No,1450,Yes,No,No,Approved
123,Male,28,Waiter,28000,Yes,700,No,Yes,Yes,Rejected
124,Female,51,AttorneyatLaw,98000,No,4200,Yes,No,No,Approved
125,Male,39,ITManager,82000,No,2800,Yes,No,No,Approved
126,Female,35,Pharmacist,76000,No,2300,Yes,No,No,Approved
127,Male,46,FinancialPlanner,88000,No,3400,Yes,No,No,Approved
128,Female,30,Cashier,32000,Yes,800,No,Yes,Yes,Rejected
129,Male,54,ChiefTechnologyOfficer,115000,No,5500,Yes,No,No,Approved
130,Female,38,EventManager,64000,No,1800,Yes,No,No,Approved
131,Male,32,Electrician,56000,No,1550,Yes,No,No,Approved
132,Female,43,SchoolCounselor,70000,No,2000,Yes,No,No,Approved
133,Male,29,DeliveryDriver,34000,Yes,850,No,Yes,Yes,Rejected
134,Female,50,ClinicalPsychologist,92000,No,3800,Yes,No,No,Approved
135,Male,36,SoftwareArchitect,84000,No,3000,Yes,No,No,Approved
136,Female,41,HRSpecialist,68000,No,1900,Yes,No,No,Approved
137,Male,27,Busboy,26000,Yes,650,No,Yes,Yes,Rejected
138,Female,48,Optometrist,86000,No,3200,Yes,No,No,Approved
139,Male,33,SalesManager,72000,No,2100,Yes,No,No,Approved
140,Female,39,InteriorDesigner,62000,No,1750,Yes,No,No,Approved
